Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\AssertionFailedException.fs', 0, 0, 0, 0, 0, 0, 129
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\AssertionOperatorsTests.fs', 2, 0, 0, 0, 2, 0, 1053
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\Assertions.fs', 0, 1, 1, 2, 20, 0, 2193
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\CheckedDynamicOperatorsEvaluationTests.fs', 0, 0, 0, 0, 1, 0, 674
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\CustomExceptionSerializationTests.fs', 0, 0, 0, 0, 0, 1, 305
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\Decompilation.fs', 0, 0, 0, 0, 3, 0, 4923
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\DecompilationTests.fs', 22, 8, 8, 8, 10, 0, 13713
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\DynamicOperators.fs', 0, 0, 0, 7, 4, 0, 5562
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\DynamicOperatorsEvaluationTests.fs', 0, 0, 0, 0, 0, 0, 2624
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\Evaluation.fs', 4, 3, 3, 4, 8, 0, 3072
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\EvaluationException.fs', 0, 0, 0, 0, 0, 0, 133
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\EvaluationTests.fs', 35, 3, 3, 4, 29, 0, 6328
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\Extensions.fs', 0, 0, 0, 0, 0, 0, 370
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\ExtraPatterns.fs', 1, 0, 0, 0, 0, 0, 2086
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\ExtraReflection.fs', 0, 0, 0, 3, 2, 0, 3557
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\FSharpNameTests.fs', 0, 0, 0, 0, 0, 0, 805
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\OperatorPrecedence.fs', 0, 0, 0, 0, 0, 0, 789
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\Operators.fs', 0, 0, 0, 0, 0, 0, 287
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\Printf.fs', 0, 0, 0, 0, 0, 0, 303
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\Reduction.fs', 0, 0, 0, 0, 2, 0, 1574
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\ReductionException.fs', 0, 0, 0, 0, 0, 0, 85
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\ReductionTests.fs', 10, 5, 5, 7, 3, 0, 5343
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\Regex.fs', 0, 0, 1, 0, 0, 0, 429
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\UnquotedExpression.fs', 0, 0, 0, 0, 1, 0, 252
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\UnquotedExpressionTests.fs', 0, 0, 0, 0, 1, 0, 329
'../in/flagged_repos/unquote/after\78b071043c42372f3693a07e5562520046873ebc\VerifyXunit2Support.fs', 0, 0, 0, 0, 1, 0, 252
